Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
RTR;Xiu;;;;;;;;;;;;;
RTR_absolute_monarchy;The Xiu Empire;;;;;;;;;;;;;
RTR_prussian_constitutionalism;The Xiu Empire;;;;;;;;;;;;;
RTR_hms_government;The Xiu Empire;;;;;;;;;;;;;
RTR_democracy;Chinese Republic;;;;;;;;;;;;;
RTR_bourgeois_dictatorship;Hongbing Kongsi;;;;;;;;;;;;;
RTR_proletarian_dictatorship;Chinese People's Republic;;;;;;;;;;;;;
RTR_fascist_dictatorship;Great Xiu Empire;;;;;;;;;;;;;
RTR_presidential_dictatorship;Chinese State;;;;;;;;;;;;;
RTR_theocracy;The Red Turbans;;;;;;;;;;;;;
RTR_ADJ;Chinese;;;;;;;;;;;;;
RTR_conservative;Tiandihui;;;;;;;;;;;;;
RTR_liberal;Tongmenghui;;;;;;;;;;;;;
RTR_reactionary;Gelaohui;;;;;;;;;;;;;
RTR_socialist;Hongmen;;;;;;;;;;;;;
RTR_anarcho_liberal;Sanhehui;;;;;;;;;;;;;
RTR_communist;Zhigongdang;;;;;;;;;;;;;
RTR_fascist;Hsingchunghui;;;;;;;;;;;;;
